"","year","mpaa","A_power","HolidaySeason","producer_power","director_power","distributor_power","genre_power","domestic_cut","budget_cut","numVotes_cut","averageRating_round"
"2529","2016","4","1","FALSE","FALSE","FALSE","TRUE","TRUE","medium","high","medium","5"
"2530","2013","5","1","FALSE","FALSE","FALSE","FALSE","TRUE","medium","medium","medium","6"
"2531","2015","4","1","TRUE","FALSE","FALSE","FALSE","FALSE","medium","low","medium","7"
"2532","2016","4","2","FALSE","FALSE","FALSE","TRUE","TRUE","high","high","medium","7"
"2533","2013","5","1","TRUE","FALSE","FALSE","TRUE","TRUE","high","medium","medium","7"
"2534","2017","5","0","TRUE","FALSE","FALSE","FALSE","TRUE","medium","medium","medium","7"
"2535","2013","4","0","TRUE","FALSE","FALSE","FALSE","FALSE","medium","low","medium","8"
"2536","2015","4","0","FALSE","FALSE","FALSE","FALSE","TRUE","medium","low","medium","6"
"2537","2014","4","1","FALSE","FALSE","FALSE","TRUE","TRUE","high","medium","medium","6"
"2538","2015","4","3","TRUE","FALSE","FALSE","TRUE","TRUE","medium","medium","medium","7"
"2539","2015","1","0","FALSE","FALSE","FALSE","TRUE","FALSE","high","high","medium","7"
"2540","2019","4","0","FALSE","FALSE","FALSE","TRUE","TRUE","medium","medium","medium","6"
"2541","2014","4","1","FALSE","FALSE","FALSE","FALSE","TRUE","low","low","medium","3"
"2542","2015","5","0","FALSE","FALSE","FALSE","FALSE","FALSE","medium","low","low","5"
"2543","2014","5","0","FALSE","FALSE","FALSE","FALSE","FALSE","medium","low","medium","5"
"2544","2015","4","2","TRUE","FALSE","FALSE","TRUE","TRUE","high","high","high","8"
"2545","2015","5","1","FALSE","FALSE","FALSE","FALSE","TRUE","low","medium","medium","7"
"2546","2015","3","1","FALSE","FALSE","FALSE","TRUE","FALSE","high","high","medium","7"
"2547","2015","5","1","FALSE","FALSE","FALSE","FALSE","TRUE","low","medium","medium","6"
"2548","2013","3","0","FALSE","FALSE","FALSE","FALSE","FALSE","medium","low","low","4"
"2549","2017","4","3","TRUE","FALSE","FALSE","TRUE","TRUE","high","high","high","7"
"2550","2019","4","3","TRUE","FALSE","FALSE","TRUE","TRUE","high","high","high","6"
"2551","2014","3","0","FALSE","FALSE","FALSE","FALSE","TRUE","medium","low","medium","5"
"2552","2018","5","0","FALSE","FALSE","FALSE","TRUE","TRUE","medium","medium","medium","6"
"2553","2016","4","1","TRUE","FALSE","FALSE","FALSE","TRUE","high","medium","high","8"
"2554","2016","4","0","FALSE","FALSE","FALSE","TRUE","TRUE","low","medium","medium","7"
"2555","2015","5","1","FALSE","FALSE","FALSE","TRUE","TRUE","medium","medium","medium","6"
"2556","2015","3","0","FALSE","FALSE","FALSE","FALSE","TRUE","medium","low","low","7"
"2557","2018","4","1","FALSE","TRUE","FALSE","TRUE","TRUE","medium","high","medium","6"
"2558","2014","5","1","FALSE","FALSE","FALSE","TRUE","TRUE","medium","medium","medium","6"
"2559","2015","5","1","FALSE","FALSE","FALSE","TRUE","TRUE","high","medium","medium","6"
"2560","2014","5","0","FALSE","FALSE","FALSE","FALSE","TRUE","medium","low","high","8"
"2561","2016","3","1","FALSE","FALSE","FALSE","TRUE","TRUE","medium","high","medium","6"
"2562","2017","4","0","TRUE","FALSE","FALSE","TRUE","TRUE","medium","medium","medium","7"
"2563","2015","4","0","TRUE","FALSE","FALSE","FALSE","TRUE","low","low","medium","8"
"2564","2016","5","0","FALSE","FALSE","FALSE","TRUE","TRUE","medium","low","high","8"
"2565","2014","5","0","FALSE","FALSE","FALSE","FALSE","TRUE","low","low","high","8"
"2566","2014","4","0","TRUE","FALSE","FALSE","TRUE","TRUE","high","low","high","8"
"2567","2019","4","1","FALSE","FALSE","FALSE","FALSE","TRUE","medium","low","high","8"
"2568","2016","5","0","TRUE","FALSE","FALSE","FALSE","TRUE","medium","medium","medium","6"
"2569","2015","5","1","TRUE","FALSE","FALSE","TRUE","TRUE","medium","medium","medium","6"
"2570","2015","5","0","FALSE","FALSE","FALSE","FALSE","TRUE","low","low","medium","5"
"2571","2016","4","0","FALSE","FALSE","FALSE","FALSE","TRUE","medium","high","medium","6"
"2572","2016","4","1","TRUE","FALSE","FALSE","FALSE","TRUE","high","high","high","7"
"2573","2016","4","1","TRUE","FALSE","TRUE","FALSE","TRUE","medium","medium","medium","7"
"2574","2016","4","0","TRUE","FALSE","FALSE","TRUE","TRUE","medium","medium","high","7"
"2575","2015","5","0","FALSE","FALSE","FALSE","TRUE","TRUE","medium","medium","medium","6"
"2576","2014","3","3","TRUE","FALSE","FALSE","TRUE","TRUE","high","high","medium","6"
"2577","2016","5","0","TRUE","FALSE","FALSE","TRUE","TRUE","medium","medium","medium","5"
"2578","2018","5","0","FALSE","FALSE","FALSE","TRUE","TRUE","medium","medium","high","7"
"2579","2018","3","1","TRUE","FALSE","FALSE","TRUE","FALSE","high","high","medium","6"
"2580","2016","3","1","TRUE","FALSE","FALSE","TRUE","TRUE","high","high","medium","6"
"2581","2014","5","2","FALSE","FALSE","FALSE","TRUE","TRUE","high","medium","high","8"
"2582","2015","5","1","FALSE","FALSE","FALSE","TRUE","TRUE","low","high","medium","5"
"2583","2015","4","0","FALSE","FALSE","FALSE","TRUE","TRUE","medium","medium","high","7"
"2584","2015","4","0","TRUE","FALSE","FALSE","TRUE","TRUE","medium","medium","medium","7"
"2585","2014","5","0","FALSE","FALSE","FALSE","TRUE","FALSE","low","low","low","4"
"2586","2015","5","0","FALSE","FALSE","FALSE","FALSE","FALSE","medium","low","medium","5"
"2587","2017","5","1","FALSE","FALSE","FALSE","FALSE","TRUE","low","low","medium","7"
"2588","2017","3","2","FALSE","FALSE","FALSE","TRUE","FALSE","high","high","high","7"
"2589","2014","4","0","FALSE","FALSE","FALSE","TRUE","FALSE","low","low","medium","7"
"2590","2017","5","0","FALSE","FALSE","FALSE","TRUE","FALSE","low","medium","low","7"
"2591","2016","3","0","FALSE","FALSE","FALSE","TRUE","TRUE","medium","medium","medium","7"
"2592","2018","5","2","FALSE","FALSE","FALSE","FALSE","TRUE","medium","medium","high","7"
"2593","2014","5","1","FALSE","FALSE","FALSE","TRUE","TRUE","high","high","high","8"
"2594","2015","4","4","TRUE","TRUE","FALSE","TRUE","TRUE","high","high","high","7"
"2595","2016","5","0","TRUE","FALSE","FALSE","TRUE","TRUE","medium","medium","medium","6"
"2596","2014","5","0","TRUE","FALSE","FALSE","FALSE","TRUE","low","low","low","5"
"2597","2015","4","0","FALSE","FALSE","FALSE","TRUE","TRUE","high","medium","medium","6"
"2598","2018","5","1","TRUE","FALSE","FALSE","TRUE","TRUE","medium","medium","medium","6"
"2599","2016","4","1","FALSE","FALSE","FALSE","TRUE","TRUE","high","medium","medium","6"
"2600","2014","5","0","FALSE","FALSE","FALSE","FALSE","FALSE","medium","low","high","8"
"2601","2014","5","2","TRUE","FALSE","FALSE","TRUE","TRUE","high","medium","high","6"
"2602","2018","5","1","FALSE","FALSE","FALSE","TRUE","TRUE","medium","medium","medium","7"
"2603","2014","4","1","FALSE","FALSE","FALSE","FALSE","TRUE","medium","low","low","7"
"2604","2014","5","0","FALSE","FALSE","FALSE","FALSE","TRUE","low","low","low","7"
"2605","2015","4","0","FALSE","FALSE","FALSE","TRUE","TRUE","high","high","high","6"
"2606","2014","5","1","FALSE","FALSE","FALSE","TRUE","TRUE","medium","medium","high","7"
"2607","2015","4","0","FALSE","FALSE","FALSE","FALSE","FALSE","medium","low","medium","5"
"2608","2017","4","0","FALSE","FALSE","FALSE","FALSE","TRUE","medium","low","medium","6"
"2609","2019","4","1","FALSE","FALSE","FALSE","TRUE","TRUE","medium","high","high","6"
"2610","2014","5","0","TRUE","FALSE","FALSE","FALSE","TRUE","low","medium","medium","7"
